______________________________________________________________________
Marvellous Process log
LOG file created as Sun Jun  2 10:15:33 2024
______________________________________________________________________
CONTENT OF FILE ARE :
______________________________________________________________________
{'name': 'Google Chrome Helper (Renderer)', 'pid': 62127, 'username': 'shubhamwalhekar'} 
{'name': 'Google Chrome Helper (Renderer)', 'pid': 62128, 'username': 'shubhamwalhekar'} 
{'name': 'Google Chrome Helper (Renderer)', 'pid': 62132, 'username': 'shubhamwalhekar'} 
{'name': 'UIKitSystem', 'pid': 62275, 'username': 'shubhamwalhekar'} 
{'name': 'audiomxd', 'pid': 62277, 'username': '_audiomxd'} 
{'name': 'Google Chrome Helper (Renderer)', 'pid': 62305, 'username': 'shubhamwalhekar'} 
{'name': 'audioanalyticsd', 'pid': 62361, 'username': 'root'} 
{'name': 'Google Chrome Helper (Renderer)', 'pid': 62717, 'username': 'shubhamwalhekar'} 
{'name': 'Google Chrome Helper (Renderer)', 'pid': 62719, 'username': 'shubhamwalhekar'} 
{'name': 'Google Chrome Helper (Renderer)', 'pid': 63074, 'username': 'shubhamwalhekar'} 
{'name': 'Google Chrome Helper (Renderer)', 'pid': 63077, 'username': 'shubhamwalhekar'} 
{'name': 'Google Chrome Helper (Renderer)', 'pid': 63078, 'username': 'shubhamwalhekar'} 
{'name': 'Google Chrome Helper (Renderer)', 'pid': 63079, 'username': 'shubhamwalhekar'} 
{'name': 'Google Chrome Helper (Renderer)', 'pid': 63080, 'username': 'shubhamwalhekar'} 
{'name': 'Google Chrome Helper (Renderer)', 'pid': 63081, 'username': 'shubhamwalhekar'} 
{'name': 'Google Chrome Helper (Renderer)', 'pid': 63082, 'username': 'shubhamwalhekar'} 
{'name': 'Google Chrome Helper (Renderer)', 'pid': 63083, 'username': 'shubhamwalhekar'} 
{'name': 'Google Chrome Helper (Renderer)', 'pid': 63084, 'username': 'shubhamwalhekar'} 
{'name': 'Google Chrome Helper (Renderer)', 'pid': 63085, 'username': 'shubhamwalhekar'} 
{'name': 'Google Chrome Helper (Renderer)', 'pid': 63086, 'username': 'shubhamwalhekar'} 
{'name': 'Google Chrome Helper (Renderer)', 'pid': 63087, 'username': 'shubhamwalhekar'} 
